"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","size1mm_rand","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"126","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"127","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"128","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"129","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"130","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"131","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"132","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"133","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"134","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"135","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"136","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"137","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"138","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"139","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"140","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"141","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"142","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"143","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"144","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"145","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"146","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"147","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"148","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"149","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"150","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"151","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"152","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"153","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"154","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"155","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
